location_code,cidade,bairro,logradouro,location,neighborhood_code,city_code
14173,mogi das cruzes,ponte grande,rodovia mogi-dutra,mogi das cruzes|ponte grande|rodovia mogi-dutra,4243,227
27385,sao paulo,jardim angela,rua bocaina de minas,s.paulo|jardim angela|rua bocaina de minas,1434,358
33046,sao paulo,vila do encontro,rua capitao valdir alves de siqueira,s.paulo|vila do encontro|rua capitao valdir alves de siqueira,5285,358
24983,sao paulo,cidade dutra,rua professor gutemberg de campos,s.paulo|cidade dutra|rua professor gutemberg de campos,764,358
35882,suzano,cidade boa vista itapevi,rua doutor papaterra linongi,suzano|cidade boa vista itapevi|rua doutor papaterra linongi,749,387
16246,pindamonhangaba,conjunto habitacional terra dos ipes i,rua capitao antonio ferreira cesar,pindamonhangaba|conjunto habitacional terra dos ipes i|rua capitao antonio ferreira cesar,965,279
10389,itapevi,vila sao joao,rua bonifacio de abreu,itapevi|vila sao joao|rua bonifacio de abreu,5884,165
21514,sao bernardo do campo,santa terezinha,rua julio batistin,s.bernardo do campo|santa terezinha|rua julio batistin,4724,337
11632,jacarei,centro,rua doutor pompilio mercadante,jacarei|centro|rua doutor pompilio mercadante,513,182
8232,guarulhos,jardim irene,rua existente,guarulhos|jardim irene|rua existente,1951,136
29401,sao paulo,parque colonial,rua baltazar dos reis,s.paulo|parque colonial|rua baltazar dos reis,3827,358
608,aruja,barbosas,rodovia pres dutra km 196 sent rio,aruja|barbosas|rodovia pres dutra km 196 sent rio,319,26
27,aluminio,bairro pedagio,rua alagoas,aluminio|bairro pedagio|rua alagoas,243,7
3842,campo limpo paulista,parque loja da china (botujuru),estrada vereador jair pereira dos santos,campo limpo paulista|parque loja da china (botujuru)|estrada vereador jair pereira dos santos,3962,62
19489,santo andre,vila guarani,rua caicara,s.andre|vila guarani|rua caicara,5386,331
32938,sao paulo,vila curuca,rua caraipe das aguas,s.paulo|vila curuca|rua caraipe das aguas,5250,358
22464,sao jose dos campos,jardim colonial,avenida napoleao bonaparte,s.jose dos campos|jardim colonial|avenida napoleao bonaparte,1642,352
22958,sao paulo,americanopolis,rua trabalhos da terra,s.paulo|americanopolis|rua trabalhos da terra,86,358
26962,sao paulo,jabaquara,rua palestina,s.paulo|jabaquara|rua palestina,1344,358
25417,sao paulo,conjunto residencial jose bonifacio,rua caetano bonatti,s.paulo|conjunto residencial jose bonifacio|rua caetano bonatti,991,358
27909,sao paulo,jardim helena,rua lirio branco,s.paulo|jardim helena|rua lirio branco,1910,358
26968,sao paulo,jabaquara,rua professor francisco emydio da fonsec,s.paulo|jabaquara|rua professor francisco emydio da fonsec,1344,358
26877,sao paulo,jabaquara,rua deputado fernando mauro,s.paulo|jabaquara|rua deputado fernando mauro,1344,358
13408,maua,jardim zaira,avenida washington luiz,maua|jardim zaira|avenida washington luiz,2854,217
13879,mogi das cruzes,alto do ipiranga,avenida maria osorio valle,mogi das cruzes|alto do ipiranga|avenida maria osorio valle,64,227
7315,guara,vila calazans,rua jose de freitas barbosa,guara|vila calazans|rua jose de freitas barbosa,5162,129
5988,embu das artes,centro,rua alexandre kadnuc,embu das artes|centro|rua alexandre kadnuc,513,108
28614,sao paulo,jose bonifacio,rua cecilia porto,s.paulo|jose bonifacio|rua cecilia porto,3408,358
7747,guarulhos,centro,avenida monteiro lobato,guarulhos|centro|avenida monteiro lobato,513,136
31093,sao paulo,sao domingos,rua fabio de almeida magalhaes,s.paulo|sao domingos|rua fabio de almeida magalhaes,4739,358
951,barretos,santa isabel,avenida quarenta e um (numeracao com zer,barretos|santa isabel|avenida quarenta e um (numeracao com zer,4709,35
14905,osasco,bandeiras,rua giusepe saco,osasco|bandeiras|rua giusepe saco,316,249
2722,campinas,jd florence,rua professsor roberto joao forster,campinas|jd florence|rua professsor roberto joao forster,3029,61
14531,mogi mirim,aguardente do reino,rodovia sp 340,mogi mirim|aguardente do reino|rodovia sp 340,28,229
16392,piracicaba,jardim caxambu,rua henrique rochele,piracicaba|jardim caxambu|rua henrique rochele,1607,284
18370,santo andre,cidade sao jorge,rua pirai,s.andre|cidade sao jorge|rua pirai,802,331
440,araraquara,jd sao rafael,rua luiz sotratti,araraquara|jd sao rafael|rua luiz sotratti,3317,22
15357,osasco,jardim roberto,rua antonio russo,osasco|jardim roberto|rua antonio russo,2491,249
9971,itapecerica da serra,jardim jacira,rua joaquim verissimo silva,itapecerica da serra|jardim jacira|rua joaquim verissimo silva,1986,162
27077,sao paulo,jaguara,rodovia anhanguera,s.paulo|jaguara|rodovia anhanguera,1349,358
26411,sao paulo,itaim bibi,rua professor vahia de abreu,s.paulo|itaim bibi|rua professor vahia de abreu,1302,358
3299,campinas,pq industrial,rua antonio jose da silva martelinho,campinas|pq industrial|rua antonio jose da silva martelinho,4330,61
33435,sao paulo,vila jacui,rua ramos de oliveira,s.paulo|vila jacui|rua ramos de oliveira,5463,358
5506,diadema,conceicao,rua tupinambas,diadema|conceicao|rua tupinambas,881,99
12901,marapoama,centro,rua jose lourenco marques da silva,marapoama|centro|rua jose lourenco marques da silva,513,213
22433,sao jose dos campos,jardim altos de santana,avenida pico das agulhas negras,s.jose dos campos|jardim altos de santana|avenida pico das agulhas negras,1401,352
34457,sao paulo,vila sonia,rua general eldes de souza guedes,s.paulo|vila sonia|rua general eldes de souza guedes,5913,358
22077,sao cruz das palmeiras,rural,loteamento santa clara,s.cruz das palmeiras|rural|loteamento santa clara,4680,342
32139,sao paulo,saude,rua guaripe,s.paulo|saude|rua guaripe,4782,358
24225,sao paulo,capao redondo,avenida felipe carrillo puerto,s.paulo|capao redondo|avenida felipe carrillo puerto,459,358
3728,campinas,vl castelo branco,rua dna concheta padula,campinas|vl castelo branco|rua dna concheta padula,6023,61
33557,sao paulo,vila mariana,rua artur de almeida,s.paulo|vila mariana|rua artur de almeida,5552,358
34539,sao roque,centro,estrada da serrinha,s.roque|centro|estrada da serrinha,513,362
88,americana,jardim america,rua joao truzi,americana|jardim america|rua joao truzi,1415,9
21745,sao caetano do sul,ceramica,rua das mangueiras,s.caetano do sul|ceramica|rua das mangueiras,529,339
11945,jardinopolis,jardinopolis,sitio estancia santo antonio,jardinopolis|jardinopolis|sitio estancia santo antonio,2858,187
